id,movie_id,title,overview,release_date,popularity,vote_average,adult,play_time,poster_path,backdrop_path,video_path,netflix_path,watcha_path
1,606523,낙원의 밤,"범죄조직의 에이스 태구는 사랑하는 누나와 조카를 의문의 교통사고로 한순간에 잃는다. 참혹한 비극의 배후에 상대 조직이 있음을 직감한 태구는 모든 것을 걸고 복수를 실행한다. 거사를 마친 태구는 몸을 숨긴 제주도에서 불법 무기상 삼촌과 단둘이 사는, 죽음의 그림자를 간직한 재연을 만나는데...",2021-04-09,1174,7.0,1,131,/mWZ2aujwBdFEONvRQv05zPBGy7J.jpg,/MocpW8Wrp8uireBg6bT6Y6TKWC.jpg,1itQo-0xGVY,81342504,
2,581528,악인전,"중부권을 쥐고 흔드는 제우스파 조직의 보스 장동수, 비 내리던 밤 한적한 도로에서 접촉사고를 위장해 접근한 남자에게 불의의 습격을 받는다. 격투 끝에 가까스로 목숨은 건졌지만 조직 보스의 권위와 자존심은 무너지고 만다. 바짝 독이 오른 장동수 앞에 형사 정태석이 나타나 그를 찌른 놈이 연쇄살인범이라며 그날 밤 기억나는 것을 모두 말하라고 한다. 장동수는 얼굴 없는 연쇄살인마와 마주쳐 살아남은 유일한 생존자이자 목격자였다. 자신의 몸에 손 댄 그 놈을 살 떨리게 잡고 싶은 조직의 보스 장동수와 미치도록 범인을 잡고 싶은 강력반 미친개 정태석, 두 사람은 장동수의 조직력과 자본, 정태석의 정보력과 기술력을 이용해 ""K""라 불리는 연쇄살인마를 함께 잡기로 하는데...",2019-05-15,3360000,7.7,1,121,/az4OVqXbFVaHoZlktcm7oCm0LZo.jpg,/8IpzxBXhd9aaZc0eDOvsfxejdLs.jpg,bdv76JwvfIE,81078578,
3,479718,범죄도시,2004년 서울. 중국 하얼빈에서 활동하다 피신한 신흥 범죄조직의 악랄한 보스 장첸. 가리봉동 일대로 넘어온 장첸과 그의 일당들은 단숨에 기존 조직들을 장악하고 가장 강력한 세력인 춘식이파 보스 황사장까지 위협하며 도시 일대의 최강자로 급부상한다. 한편 대한민국을 뒤흔든 장첸 일당을 잡기 위해 오직 주먹 한방으로 도시의 평화를 유지해 온 괴물형사 마석도와  인간미 넘치는 든든한 리더 전일만 반장이 이끄는 강력반은 눈에는 눈 방식의  소탕 작전을 기획하는데...,2017-10-03,6880000,7.8,1,119,/A5MIbqxuQfQRtzGxg5UUTAxHfsM.jpg,/67eKM9rkCOZmNVrsgXVKiCvJh1.jpg,n-dYGqVVgU4,,
4,752886,강릉,"강릉 최대 조직의 ‘길석’ 평화와 의리를 중요시하며 질서 있게 살아가던 그의 앞에 강릉 최대 리조트 소유권을 노린 남자 ‘민석’이 나타난다. 첫 만남부터 서늘한 분위기가 감도는 둘, ‘민석’이 자신의 목표를 위해 본격적으로 움직이기 시작하면서 두 조직 사이에는 겉잡을 수 없는 전쟁이 시작되는데.. 거친 운명 앞에 놓인 두 남자 11월, 그들의 이야기가 시작된다",2021-11-10,300000,6.4,1,110,/1MZ42GYL84wW4U9HtcKMuTOx6fD.jpg,/zSNaHraIcjfy3BC0q5JAnTS23Ll.jpg,z_LMLtdNVxA,,
5,51608,아저씨,불행한 사건으로 아내를 잃고 세상을 등진 채 전당포를 꾸려가며 외롭게 살아가는 전직 특수요원 태식. 찾아오는 사람이라곤 전당포에 물건을 맡기러 오는 사람들과 옆집소녀 소미뿐이다. 세상으로부터 버림받은 소미와 함께 보내는 시간이 많아지면서 태식과 소미는 서로 마음을 열며 친구가 되어간다.  그러던 어느 날 소미의 엄마가 범죄단체 연루되고 태식의 눈앞에서 소미가 납치되는데...,2010-08-04,6170000,7.7,1,106,/14QbjXp8m3LN9l1U4SoBWy441kr.jpg,/3cGvyS88UOf3LDUpXf06FpK8crH.jpg,DmRHYq2wSzE,,m5ZXrxO
6,619803,범죄도시 2,"가리봉동 소탕작전 후 4년 뒤, 금천서 강력반은 베트남으로 도주한 용의자를 인도받아 오라는 미션을 받는다.  괴물형사 ‘마석도’(마동석)와 ‘전일만’(최귀화) 반장은 현지 용의자에게서 수상함을 느끼고, 그의 뒤에 무자비한 악행을 벌이는 ‘강해상’(손석구)이 있음을 알게 된다.  ‘마석도’와 금천서 강력반은 한국과 베트남을 오가며 역대급 범죄를 저지르는 ‘강해상’을 본격적으로 쫓기 시작하는데...  나쁜 놈들 잡는 데 국경 없다! 통쾌하고 화끈한 범죄 소탕 작전이 다시 펼쳐진다!",2022-05-18,1010000,2.0,1,119,/eet59dUMUqRkIJJwY2Q7M5UsRAn.jpg,/iuM006FCrVXqvwLg4R0hkST0HPy.jpg,DfqBfjboSNE,,
7,618200,파이프라인,"손만 대면 대박을 터트리는 도유 업계 최고 천공기술자 핀돌이는 수천억의 기름을 빼돌리기 위해 거대한 판을 짠 대기업 후계자 건우의 거부할 수 없는 제안에 빠져 위험천만한 도유 작전에 합류한다. 프로 용접공 접새, 땅 속을 장기판처럼 꿰고 있는 나과장, 괴력의 인간 굴착기 큰삽, 이 모든 이들을 감시하는 카운터까지. 그러나 저마다 다른 목적을 가진 이들이 서로를 속고 속이면서 계획은 예상치 못한 방향으로 흘러가기 시작하는데...",2021-05-26,130000,7.2,0,94,/oo4sBEhrOovS1l1qcPo0i1RRacP.jpg,/jPF9dna2OBfMDi7lykm36eN1dnc.jpg,KgsMl1KHmxA,,mWvq2ZD
8,571648,지푸라기라도 잡고 싶은 짐승들,"가업으로 물려받은 사업에 실패하고 사우나에서 야간 알바를 하는 중만. 치매 노모를 모시고 살며 경제적으로도 쪼들리던 그는 어느날 로커룸에서 거액의 현금 다발이 든 돈 가방을 발견하고 그 돈을 자기가 가지기로 마음먹는다. 세관 공무원 태영은 사채업자에게 큰돈을 빌려 사업을 하는 애인 연희에게 투자 명목으로 빌려주지만 연희는 잠적하고, 사채업자의 압박이 시작된다. 그러던 중 연희로 의심되는 여성의 사체가 발견된다. 주식투자로 빚을 지고 남편의 폭력에 시달리던 미란은 돈을 벌기 위해 접대부로 일하는데, 손님으로 만난 진태가 남편을 죽여주겠다고 제안하자 솔깃한다. 이후 각자 다른 욕망을 가진 이들의 관계가 하나둘 밝혀지기 시작한다.",2020-02-19,620000,7.2,1,108,/qflrq8UvC2YE4lhudU6voXliwyc.jpg,/1yqVaDR7uIA3Xx9GQIhbEbh5pEe.jpg,tv5ZQwH-sAc,81346909,
10,435601,브이아이피,"국정원과 CIA의 기획으로 북에서 온 VIP 김광일이 살인사건의 유력한 용의자로 지목된다. 본능적으로 그가 범인임을 직감한 경찰 채이도가 VIP를 뒤쫓지만 국정원 요원 박재혁의 비호로 번번이 용의선상에서 벗어난다. CIA와 국정원 간의 ‘기획 귀순자’를 둘러싼 알력 다툼, 경찰의 봐주기 수사부터 검찰과의 거래, 여기에 북한 정치 상황 지형도까지 얽히는데...",2017-08-23,1370000,8.0,1,128,/nAF51unFGuizy0dOnmn74VytRLt.jpg,/nx0SKrYEQLvrvFQI9OZ0nJeiVUM.jpg,04XGy2CxOd8,,m5aV9XM
12,488623,기억의 밤,"새 집으로 이사 온 날 밤, 정체불명의 괴한들에게 납치된 형 유석. 동생 진석은 형이 납치된 후 매일 밤 환청과 환각에 시달리며 불안해한다. 납치된지 19일째 되는 날 돌아온 유석은 그동안의 모든 기억을 잃었다고 말한다. 하지만 돌아온 뒤로 어딘가 변해버린 유석을 의심하던 진석은 매일 밤 사라지는 형을 쫓던 중 충격적인 사실과 마주하게 되는데...",2017-11-29,1380000,8.0,0,132,/pXHLaA2dvIfJ3NbslufKqvS48dt.jpg,/wb1hz8m3snCBN1wdF3SZxrdKgRH.jpg,Ol6Yr4W0m14,80223050,
